Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,CompetitionDistance_was_missing,CompetitionOpenSince_was_missing,Suspicious_Zero_Sales
70,7,2015-05-31,0,0,0,0,0,0,c,c,4840.0,8.0,2010.0,0,,,,False,True,False
72,3,2013-05-01,0,0,0,1,a,0,a,a,2200.0,12.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",False,False,False
73,2,2014-01-28,4327,507,1,0,0,0,a,c,1650.0,9.0,2008.0,0,,,,False,False,False
73,7,2014-10-12,0,0,0,0,0,0,a,c,1650.0,9.0,2008.0,0,,,,False,False,False
74,6,2013-06-22,4615,662,1,0,0,0,a,a,330.0,8.0,2010.0,0,,,,False,True,False
75,5,2013-12-20,10054,946,1,1,0,0,d,c,22440.0,12.0,2013.0,0,,,,False,False,False
75,6,2014-09-06,5214,598,1,0,0,0,d,c,22440.0,12.0,2013.0,0,,,,False,False,False
76,2,2013-05-07,7452,821,1,0,0,0,d,c,19960.0,3.0,2006.0,0,,,,False,False,False
76,2,2013-05-28,8706,897,1,1,0,1,d,c,19960.0,3.0,2006.0,0,,,,False,False,False
77,5,2013-08-16,7608,682,1,1,0,1,d,c,1090.0,8.0,2009.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",False,False,False
77,6,2014-12-06,8548,726,1,0,0,0,d,c,1090.0,8.0,2009.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",False,False,False
77,3,2015-06-17,7647,611,1,1,0,0,d,c,1090.0,8.0,2009.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",False,False,False
78,5,2015-03-20,4474,560,1,1,0,0,a,a,3510.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov",False,False,False
79,1,2015-04-13,8819,783,1,1,0,0,a,a,3320.0,8.0,2010.0,0,,,,False,True,False
80,5,2013-08-23,6167,507,1,0,0,0,d,a,7910.0,8.0,2010.0,0,,,,False,True,False
80,3,2015-07-29,8388,575,1,1,0,1,d,a,7910.0,8.0,2010.0,0,,,,False,True,False
81,2,2013-02-12,3730,337,1,0,0,1,a,a,2370.0,3.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",False,False,False
82,4,2013-08-15,9597,899,1,1,0,1,a,a,22390.0,4.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",False,False,False
82,5,2014-02-07,10282,1044,1,1,0,0,a,a,22390.0,4.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",False,False,False
82,4,2014-03-20,8916,861,1,1,0,0,a,a,22390.0,4.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",False,False,False
83,2,2013-01-22,4301,349,1,1,0,0,a,a,2710.0,8.0,2010.0,0,,,,False,True,False
83,6,2013-10-05,2654,249,1,0,0,0,a,a,2710.0,8.0,2010.0,0,,,,False,True,False
84,5,2013-12-20,20529,1994,1,1,0,0,a,c,11810.0,8.0,2014.0,0,,,,False,False,False
88,2,2013-03-05,8695,806,1,1,0,0,a,a,10690.0,10.0,2005.0,0,,,,False,False,False
88,5,2014-10-24,6506,712,1,1,0,0,a,a,10690.0,10.0,2005.0,0,,,,False,False,False
88,5,2015-02-27,6217,666,1,0,0,0,a,a,10690.0,10.0,2005.0,0,,,,False,False,False
88,4,2015-04-16,6737,657,1,1,0,0,a,a,10690.0,10.0,2005.0,0,,,,False,False,False
89,2,2013-09-10,6370,629,1,1,0,1,a,a,2380.0,7.0,2004.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",False,False,False
89,2,2013-10-08,7065,723,1,1,0,0,a,a,2380.0,7.0,2004.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",False,False,False
89,1,2013-11-11,5827,669,1,0,0,0,a,a,2380.0,7.0,2004.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",False,False,False
91,1,2013-01-14,4291,572,1,0,0,0,c,a,2410.0,8.0,2010.0,1,35.0,2011.0,"Jan,Apr,Jul,Oct",False,True,False
93,5,2015-07-10,6255,684,1,0,0,1,a,a,16690.0,8.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",False,True,False
94,4,2014-01-02,6219,625,1,0,0,1,d,c,14620.0,8.0,2010.0,0,,,,False,True,False
94,7,2015-01-04,0,0,0,0,0,0,d,c,14620.0,8.0,2010.0,0,,,,False,True,False
95,5,2013-05-03,9989,1145,1,1,0,0,a,a,1890.0,10.0,2014.0,0,,,,False,False,False
95,7,2013-06-02,0,0,0,0,0,0,a,a,1890.0,10.0,2014.0,0,,,,False,False,False
95,7,2014-12-07,0,0,0,0,0,0,a,a,1890.0,10.0,2014.0,0,,,,False,False,False
96,7,2014-09-28,0,0,0,0,0,0,a,a,8780.0,2.0,2005.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",False,False,False
97,5,2014-10-24,7391,782,1,1,0,1,d,c,8980.0,8.0,2010.0,0,,,,False,True,False
98,7,2014-04-06,0,0,0,0,0,0,d,c,15140.0,12.0,2006.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",False,False,False
100,1,2013-09-30,8278,703,1,0,0,0,d,a,17930.0,8.0,2010.0,0,,,,False,True,False
101,1,2013-08-26,9703,925,1,1,0,0,d,c,2440.0,8.0,2010.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",False,True,False
101,6,2013-10-26,5706,710,1,0,0,0,d,c,2440.0,8.0,2010.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",False,True,False
103,6,2014-04-19,4340,405,1,0,0,0,d,c,5210.0,5.0,2015.0,0,,,,False,False,False
104,7,2013-05-26,0,0,0,0,0,0,a,a,390.0,6.0,2009.0,0,,,,False,False,False
104,1,2013-11-04,11113,1396,1,1,0,0,a,a,390.0,6.0,2009.0,0,,,,False,False,False
105,2,2015-04-07,5384,570,1,0,0,1,a,c,6190.0,8.0,2010.0,1,23.0,2013.0,"Mar,Jun,Sept,Dec",False,True,False
106,4,2013-08-01,10385,932,1,1,0,1,a,a,1390.0,8.0,2013.0,0,,,,False,False,False
106,7,2014-05-11,0,0,0,0,0,0,a,a,1390.0,8.0,2013.0,0,,,,False,False,False
106,4,2014-08-07,8547,795,1,1,0,1,a,a,1390.0,8.0,2013.0,0,,,,False,False,False
106,3,2015-04-29,10580,972,1,1,0,0,a,a,1390.0,8.0,2013.0,0,,,,False,False,False
108,1,2013-06-17,12793,980,1,1,0,0,d,c,2190.0,9.0,2003.0,0,,,,False,False,False
108,3,2014-04-02,11170,844,1,1,0,0,d,c,2190.0,9.0,2003.0,0,,,,False,False,False
109,7,2014-03-09,0,0,0,0,0,0,a,c,3300.0,11.0,2010.0,0,,,,False,False,False
109,3,2014-05-14,5593,692,1,0,0,0,a,c,3300.0,11.0,2010.0,0,,,,False,False,False
110,1,2015-03-02,5353,625,1,1,0,0,a,c,46590.0,4.0,2013.0,0,,,,False,False,False
112,3,2014-02-05,6942,813,1,1,0,0,a,a,1630.0,9.0,2009.0,0,,,,False,False,False
112,4,2014-06-19,5966,754,1,1,0,0,a,a,1630.0,9.0,2009.0,0,,,,False,False,False
112,2,2014-07-15,6209,752,1,1,0,0,a,a,1630.0,9.0,2009.0,0,,,,False,False,False
113,2,2013-07-16,8814,808,1,1,0,0,d,c,20930.0,11.0,1999.0,0,,,,False,False,False
113,4,2013-10-17,6319,627,1,0,0,0,d,c,20930.0,11.0,1999.0,0,,,,False,False,False
114,7,2013-09-29,0,0,0,0,0,0,c,a,4510.0,8.0,2010.0,1,48.0,2011.0,"Mar,Jun,Sept,Dec",False,True,False
114,6,2014-09-20,4785,600,1,0,0,0,c,a,4510.0,8.0,2010.0,1,48.0,2011.0,"Mar,Jun,Sept,Dec",False,True,False
114,3,2015-02-04,5670,585,1,1,0,1,c,a,4510.0,8.0,2010.0,1,48.0,2011.0,"Mar,Jun,Sept,Dec",False,True,False
115,7,2013-04-28,0,0,0,0,0,0,d,c,5740.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",False,False,False
116,7,2014-02-09,0,0,0,0,0,0,a,a,680.0,4.0,2013.0,0,,,,False,False,False
116,1,2014-02-17,10469,961,1,1,0,0,a,a,680.0,4.0,2013.0,0,,,,False,False,False
118,7,2013-09-22,0,0,0,0,0,0,d,c,3580.0,9.0,2012.0,0,,,,False,False,False
119,2,2013-11-26,6069,698,1,0,0,0,a,c,2100.0,2.0,2010.0,0,,,,False,False,False
119,7,2015-01-11,0,0,0,0,0,0,a,c,2100.0,2.0,2010.0,0,,,,False,False,False
119,5,2015-01-23,4543,566,1,0,0,0,a,c,2100.0,2.0,2010.0,0,,,,False,False,False
120,2,2013-10-22,6263,589,1,1,0,1,d,a,2290.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",False,False,False
120,3,2015-05-13,7088,693,1,0,0,0,d,a,2290.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",False,False,False
121,3,2015-03-04,5434,535,1,1,0,0,a,a,3570.0,11.0,2009.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec",False,False,False
122,3,2014-04-30,9314,1085,1,1,0,1,a,c,58260.0,4.0,2013.0,0,,,,False,False,False
123,7,2013-09-01,0,0,0,0,0,0,a,a,16760.0,9.0,2011.0,0,,,,False,False,False
123,3,2014-09-10,24549,2011,1,0,0,0,a,a,16760.0,9.0,2011.0,0,,,,False,False,False
123,3,2015-06-24,7080,909,1,0,0,0,a,a,16760.0,9.0,2011.0,0,,,,False,False,False
124,5,2013-03-22,5419,705,1,1,0,0,a,a,1410.0,4.0,2003.0,0,,,,False,False,False
125,4,2013-10-03,0,0,0,0,a,1,a,a,760.0,12.0,2005.0,0,,,,False,False,False
125,4,2014-07-24,9337,1308,1,0,0,1,a,a,760.0,12.0,2005.0,0,,,,False,False,False
125,1,2014-10-06,15812,1989,1,1,0,0,a,a,760.0,12.0,2005.0,0,,,,False,False,False
126,1,2013-04-08,12813,719,1,1,0,0,d,a,3370.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov",False,False,False
126,4,2013-08-29,14504,583,1,1,0,1,d,a,3370.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov",False,False,False
126,5,2013-12-06,6665,626,1,1,0,0,d,a,3370.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov",False,False,False
126,1,2014-12-08,4517,448,1,0,0,0,d,a,3370.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov",False,False,False
126,6,2015-04-11,4587,440,1,0,0,0,d,a,3370.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov",False,False,False
126,1,2015-06-08,5201,473,1,0,0,0,d,a,3370.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov",False,False,False
130,6,2013-01-19,4224,505,1,0,0,0,c,a,900.0,8.0,2010.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",False,True,False
131,3,2013-03-20,5935,578,1,1,0,0,c,a,920.0,7.0,2015.0,0,,,,False,False,False
131,2,2013-12-24,3329,396,1,0,0,1,c,a,920.0,7.0,2015.0,0,,,,False,False,False
131,1,2014-03-17,5844,597,1,1,0,0,c,a,920.0,7.0,2015.0,0,,,,False,False,False
132,2,2013-12-03,7959,656,1,1,0,0,d,c,1040.0,8.0,2010.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct",False,True,False
132,7,2014-03-09,0,0,0,0,0,0,d,c,1040.0,8.0,2010.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct",False,True,False
132,4,2015-04-23,5994,583,1,0,0,0,d,c,1040.0,8.0,2010.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct",False,True,False
135,4,2013-04-04,4516,458,1,0,0,1,d,a,5190.0,8.0,2010.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",False,True,False
135,4,2014-09-11,4626,468,1,0,0,0,d,a,5190.0,8.0,2010.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",False,True,False
